codigo;coletanea;numeracao;titulo;creditos
CC;Cantor Cristão;1;Antífona;William H.Monk | H.Maxwell Wright
CC;Cantor Cristão;2;Justo és, Senhor;João Gomes da Rocha
CC;Cantor Cristão;3;Louvor ao Senhor;Robert Lowry | William E.Entzminger
CC;Cantor Cristão;4;Ao Deus santo;Mary Artemista Lathbury
CC;Cantor Cristão;5;Presença divina;Justus Henry Nelson | Felice de Giardini
CC;Cantor Cristão;6;Glória ao Senhor;Antonio José das Neves
CC;Cantor Cristão;7;Maravilhas divinas;Salomão Luiz Ginsburg | George Coles Stebbins
CC;Cantor Cristão;8;A Deus supremo;Louis M.Gottschalk | Thomas Ken
CC;Cantor Cristão;9;Santo, Santo;Reginald Heber | John Bacchus Dykes
CC;Cantor Cristão;10;Auxílio divino;Louis M.Gottschalk | Andrew Reed
CC;Cantor Cristão;11;Ao Deus Trino;Luther O.Emerson | William E.Entzminger
CC;Cantor Cristão;12;Louvamos;Richard Holden | John Francis Wade
CC;Cantor Cristão;13;Bendigam a Deus;Henry J.Gauntlett | Henry F.Lyte
CC;Cantor Cristão;14;O Deus de Abraão;Thomas Oliveira
CC;Cantor Cristão;15;Exultação;Fanny Jane Crosby | William Howard Doane
CC;Cantor Cristão;16;Vinde adorar;Henry Maxwell Wright | William Kanapp
CC;Cantor Cristão;17;O amor de Deus;Phillip P.Bliss | Stuart E.McNair
CC;Cantor Cristão;18;Amor sem igual;Stuart E.McNair
CC;Cantor Cristão;19;Alegre nova nos chegou;Albert Lister Peace | William E.Entzminger
CC;Cantor Cristão;20;Amor perene;Guilherme Luiz S.Ferreira
CC;Cantor Cristão;21;Do mundo Deus se condoeu;Salomão Luiz Ginsburg
CC;Cantor Cristão;22;Sublime amor;Edmund S.Lorenz
CC;Cantor Cristão;23;Deus fonte da vida;Henry M.Wright
CC;Cantor Cristão;24;Deus é amor;George Coles Stebbins | John Bowring
CC;Cantor Cristão;25;Que grande amor;James McGranahan | Robert Boswell
CC;Cantor Cristão;26;Rei excelso;George Frederick Haendel | Isaac Watts
CC;Cantor Cristão;27;Natal;Charles Wesley | Felix Mendelssohn Bartholdy
CC;Cantor Cristão;28;Nasceu o Redentor;William J.Kirkpatrick | Francis Bottome
CC;Cantor Cristão;29;É Jesus que nasce;William J.Kirkpatrick | Manuel Avelino de Souza
CC;Cantor Cristão;30;Noite de paz;Franz Xavier Gruber | Joseph Mohr
CC;Cantor Cristão;31;Lugar para Cristo;William J.Kirkpatrick | Francis Bottome
CC;Cantor Cristão;32;Novas tenho;Ira David Sankey
CC;Cantor Cristão;33;Nasceu Jesus;Robert Lowry | Robert Hawkey Moreton
CC;Cantor Cristão;34;Plena graça
CC;Cantor Cristão;35;Incomparável
CC;Cantor Cristão;36;O amor de Jesus;Philip Paul Bliss | Manuel A.Santos
CC;Cantor Cristão;37;Amor glorioso;Adoniram Judson Gordon | W.Spencer Walton
CC;Cantor Cristão;38;Divino amor;Mary Shekleton Ira David Sankey
CC;Cantor Cristão;39;A ovelha perdida
CC;Cantor Cristão;40;Amor de Cristo
CC;Cantor Cristão;41;Reconhecimento
CC;Cantor Cristão;42;És tu Jesus meu Salvador;E.W.Bullinger James McGranahan
CC;Cantor Cristão;43;Preciosas palavras;Ira David Sankey | Fanny J.Crosby
CC;Cantor Cristão;44;A linda história
CC;Cantor Cristão;45;Por amor de nós
CC;Cantor Cristão;46;Jesus me transformou;Howard E.Smith | James Rowe
CC;Cantor Cristão;47;Alegria perene;Melodia americana Samuel Medley
CC;Cantor Cristão;48;Salvação
CC;Cantor Cristão;49;Tudo fez Jesus
CC;Cantor Cristão;50;A velha história;William Howard Doane | Katherine Hankey
CC;Cantor Cristão;51;Vida na graça
CC;Cantor Cristão;52;Jesus glorioso
CC;Cantor Cristão;53;Os filhos de Sião
CC;Cantor Cristão;54;Glória e honra
CC;Cantor Cristão;55;Hosana nas alturas
CC;Cantor Cristão;56;Rei da glória
CC;Cantor Cristão;57;Bendito o rei
CC;Cantor Cristão;58;O nome de Jesus
CC;Cantor Cristão;59;Saudai Emanuel
CC;Cantor Cristão;60;Coroai;James Ellor | Esward Perronet
CC;Cantor Cristão;61;Glória a Jesus
CC;Cantor Cristão;62;Nome precioso;William Howard Doane | Lydia Baxter
CC;Cantor Cristão;63;Jesus o Senhor
CC;Cantor Cristão;64;Jubiloso
CC;Cantor Cristão;65;Jesus, o bem amado
CC;Cantor Cristão;66;Coroai-o ó remidos;Thomas Kelly | George Coles Stebbins
CC;Cantor Cristão;67;Cristo exaltado;Peter Philip Bilhorn | Stuart E.McNair
CC;Cantor Cristão;68;Bem-aventurados
CC;Cantor Cristão;69;Aleluia
CC;Cantor Cristão;70;Nome adorável
CC;Cantor Cristão;71;Amigo eterno
CC;Cantor Cristão;72;Amigo sem igual
CC;Cantor Cristão;73;Um grande amigo
CC;Cantor Cristão;74;Graça a Deus
CC;Cantor Cristão;75;Que grande amigo
CC;Cantor Cristão;76;Amigo verdadeiro
CC;Cantor Cristão;77;O melhor amigo;Philip Bilhorn
CC;Cantor Cristão;78;Tudo de graça
CC;Cantor Cristão;79;Um bom amigo
CC;Cantor Cristão;80;Coração purificado
CC;Cantor Cristão;81;Amigo incomparável;Johson Oatman Jr
CC;Cantor Cristão;82;O Gólgota
