coletanea;codigo;titulo;creditos
CC;1;Antífona;William H.Monk | H.Maxwell Wright
CC;2;Justo és, Senhor;João Gomes da Rocha
CC;3;Louvor ao Senhor;Robert Lowry | William E.Entzminger
CC;4;Ao Deus santo;Mary Artemista Lathbury
CC;5;Presença divina;Justus Henry Nelson | Felice de Giardini
CC;6;Glória ao Senhor;Antonio José das Neves
CC;7;Maravilhas divinas;Salomão Luiz Ginsburg | George Coles Stebbins
CC;8;A Deus supremo;Louis M.Gottschalk | Thomas Ken
CC;9;Santo, Santo;Reginald Heber | John Bacchus Dykes
CC;10;Auxílio divino;Louis M.Gottschalk | Andrew Reed
CC;11;Ao Deus Trino;Luther O.Emerson | William E.Entzminger
CC;12;Louvamos;Richard Holden | John Francis Wade
CC;13;Bendigam a Deus;Henry J.Gauntlett | Henry F.Lyte
CC;14;O Deus de Abraão;Thomas Oliveira
CC;15;Exultação;Fanny Jane Crosby | William Howard Doane
CC;16;Vinde adorar;Henry Maxwell Wright | William Kanapp
CC;17;O amor de Deus;Phillip P.Bliss | Stuart E.McNair
CC;18;Amor sem igual;Stuart E.McNair
CC;19;Alegre nova nos chegou;Albert Lister Peace | William E.Entzminger
CC;20;Amor perene;Guilherme Luiz S.Ferreira
CC;21;Do mundo Deus se condoeu;Salomão Luiz Ginsburg
CC;22;Sublime amor;Edmund S.Lorenz
CC;23;Deus fonte da vida;Henry M.Wright
CC;24;Deus é amor;George Coles Stebbins | John Bowring
CC;25;Que grande amor;James McGranahan | Robert Boswell
CC;26;Rei excelso;George Frederick Haendel | Isaac Watts
CC;27;Natal;Charles Wesley | Felix Mendelssohn Bartholdy
CC;28;Nasceu o Redentor;William J.Kirkpatrick | Francis Bottome
CC;29;É Jesus que nasce;William J.Kirkpatrick | Manuel Avelino de Souza
CC;30;Noite de paz;Franz Xavier Gruber | Joseph Mohr
CC;31;Lugar para Cristo;William J.Kirkpatrick | Francis Bottome
CC;32;Novas tenho;Ira David Sankey
CC;33;Nasceu Jesus;Robert Lowry | Robert Hawkey Moreton
CC;34;Plena graça;
CC;35;Incomparável;
CC;36;O amor de Jesus;Philip Paul Bliss | Manuel A.Santos
CC;37;Amor glorioso;Adoniram Judson Gordon | W.Spencer Walton
CC;38;Divino amor;Mary Shekleton Ira David Sankey
CC;39;A ovelha perdida;
CC;40;Amor de Cristo;
CC;41;Reconhecimento;
CC;42;És tu Jesus meu Salvador;E.W.Bullinger James McGranahan
CC;43;Preciosas palavras;Ira David Sankey | Fanny J.Crosby
CC;44;A linda história;
CC;45;Por amor de nós;
CC;46;Jesus me transformou;Howard E.Smith | James Rowe
CC;47;Alegria perene;Melodia americana Samuel Medley
CC;48;Salvação;
CC;49;Tudo fez Jesus;
CC;50;A velha história;William Howard Doane | Katherine Hankey
CC;51;Vida na graça;
CC;52;Jesus glorioso;
CC;53;Os filhos de Sião;
CC;54;Glória e honra;
CC;55;Hosana nas alturas;
CC;56;Rei da glória;
CC;57;Bendito o rei;
CC;58;O nome de Jesus;
CC;59;Saudai Emanuel;
CC;60;Coroai;James Ellor | Esward Perronet
CC;61;Glória a Jesus;
CC;62;Nome precioso;William Howard Doane | Lydia Baxter
CC;63;Jesus o Senhor;
CC;64;Jubiloso;
CC;65;Jesus, o bem amado;
CC;66;Coroai-o ó remidos;Thomas Kelly | George Coles Stebbins
CC;67;Cristo exaltado;Peter Philip Bilhorn | Stuart E.McNair
CC;68;Bem-aventurados;
CC;69;Aleluia;
CC;70;Nome adorável;
CC;71;Amigo eterno;
CC;72;Amigo sem igual;
CC;73;Um grande amigo;
CC;74;Graça a Deus;
CC;75;Que grande amigo;
CC;76;Amigo verdadeiro;
CC;77;O melhor amigo;Philip Bilhorn
CC;78;Tudo de graça;
CC;79;Um bom amigo;
CC;80;Coração purificado;
CC;81;Amigo incomparável;Johson Oatman Jr
CC;82;O Gólgota;
CC;83;A cruz de Cristo;
CC;84;A cruz;
CC;85;Cantai louvores;
CC;86;Sangue precioso;Henry Maxwell Wright | Ethelbert William Bullinger
CC;87;Calvário;
CC;88;Que fazes por mim;
CC;89;O poder do sangue;Lewis Edgar Jones
