coletanea;codigo;numeracao;titulo;creditos
Cantor Cristão;CC;1;Antífona;William H.Monk | H.Maxwell Wright
Cantor Cristão;CC;2;Justo és, Senhor;João Gomes da Rocha
Cantor Cristão;CC;3;Louvor ao Senhor;Robert Lowry | William E.Entzminger
Cantor Cristão;CC;4;Ao Deus santo;Mary Artemista Lathbury
Cantor Cristão;CC;5;Presença divina;Justus Henry Nelson | Felice de Giardini
Cantor Cristão;CC;6;Glória ao Senhor;Antonio José das Neves
Cantor Cristão;CC;7;Maravilhas divinas;Salomão Luiz Ginsburg | George Coles Stebbins
Cantor Cristão;CC;8;A Deus supremo;Louis M.Gottschalk | Thomas Ken
Cantor Cristão;CC;9;Santo, Santo;Reginald Heber | John Bacchus Dykes
Cantor Cristão;CC;10;Auxílio divino;Louis M.Gottschalk | Andrew Reed
Cantor Cristão;CC;11;Ao Deus Trino;Luther O.Emerson | William E.Entzminger
Cantor Cristão;CC;12;Louvamos;Richard Holden | John Francis Wade
Cantor Cristão;CC;13;Bendigam a Deus;Henry J.Gauntlett | Henry F.Lyte
Cantor Cristão;CC;14;O Deus de Abraão;Thomas Oliveira
Cantor Cristão;CC;15;Exultação;Fanny Jane Crosby | William Howard Doane
Cantor Cristão;CC;16;Vinde adorar;Henry Maxwell Wright | William Kanapp
Cantor Cristão;CC;17;O amor de Deus;Phillip P.Bliss | Stuart E.McNair
Cantor Cristão;CC;18;Amor sem igual;Stuart E.McNair
Cantor Cristão;CC;19;Alegre nova nos chegou;Albert Lister Peace | William E.Entzminger
Cantor Cristão;CC;20;Amor perene;Guilherme Luiz S.Ferreira
Cantor Cristão;CC;21;Do mundo Deus se condoeu;Salomão Luiz Ginsburg
Cantor Cristão;CC;22;Sublime amor;Edmund S.Lorenz
Cantor Cristão;CC;23;Deus fonte da vida;Henry M.Wright
Cantor Cristão;CC;24;Deus é amor;George Coles Stebbins | John Bowring
Cantor Cristão;CC;25;Que grande amor;James McGranahan | Robert Boswell
Cantor Cristão;CC;26;Rei excelso;George Frederick Haendel | Isaac Watts
Cantor Cristão;CC;27;Natal;Charles Wesley | Felix Mendelssohn Bartholdy
Cantor Cristão;CC;28;Nasceu o Redentor;William J.Kirkpatrick | Francis Bottome
